cuenca,subcuenca,x1,estacion,nivel,x2,x3,dt
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-12 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-13 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-14 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,15,,,2000-05-15 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,63,,,2000-05-16 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,28,,,2000-05-17 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,1,,,2000-05-18 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-19 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-20 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-21 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-22 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-23 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-24 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-25 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,25,,,2000-05-26 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-27 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-28 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-29 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-30 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-31 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-01 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-02 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-03 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-04 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-05 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-06 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,53,,,2000-06-07 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,18,,,2000-06-08 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-09 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,12,,,2000-06-10 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,20,,,2000-06-11 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-12 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-13 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-14 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,4,,,2000-06-15 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-16 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-17 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-18 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,5,,,2000-06-19 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-20 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-21 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-22 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-23 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-24 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-25 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-26 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-27 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,13,,,2000-06-28 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-29 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-06-30 07:00:00
